时间,90m 径向风速(m/s),90m SNR,120m 径向风速(m/s),120m SNR,150m 径向风速(m/s),150m SNR,180m 径向风速(m/s),180m SNR,210m 径向风速(m/s),210m SNR,240m 径向风速(m/s),240m SNR,270m 径向风速(m/s),270m SNR,300m 径向风速(m/s),300m SNR,330m 径向风速(m/s),330m SNR,360m 径向风速(m/s),360m SNR,390m 径向风速(m/s),390m SNR,420m 径向风速(m/s),420m SNR,450m 径向风速(m/s),450m SNR,480m 径向风速(m/s),480m SNR,510m 径向风速(m/s),510m SNR,540m 径向风速(m/s),540m SNR,570m 径向风速(m/s),570m SNR,600m 径向风速(m/s),600m SNR,630m 径向风速(m/s),630m SNR,660m 径向风速(m/s),660m SNR,690m 径向风速(m/s),690m SNR,720m 径向风速(m/s),720m SNR,750m 径向风速(m/s),750m SNR,780m 径向风速(m/s),780m SNR,810m 径向风速(m/s),810m SNR,840m 径向风速(m/s),840m SNR,870m 径向风速(m/s),870m SNR,900m 径向风速(m/s),900m SNR,930m 径向风速(m/s),930m SNR,960m 径向风速(m/s),960m SNR,990m 径向风速(m/s),990m SNR,1020m 径向风速(m/s),1020m SNR,1050m 径向风速(m/s),1050m SNR,1080m 径向风速(m/s),1080m SNR,1110m 径向风速(m/s),1110m SNR,1140m 径向风速(m/s),1140m SNR,1170m 径向风速(m/s),1170m SNR,1200m 径向风速(m/s),1200m SNR,1230m 径向风速(m/s),1230m SNR,1260m 径向风速(m/s),1260m SNR,1290m 径向风速(m/s),1290m SNR,1320m 径向风速(m/s),1320m SNR,1350m 径向风速(m/s),1350m SNR,1380m 径向风速(m/s),1380m SNR,1410m 径向风速(m/s),1410m SNR,1440m 径向风速(m/s),1440m SNR,1470m 径向风速(m/s),1470m SNR,1500m 径向风速(m/s),1500m SNR,1530m 径向风速(m/s),1530m SNR,1560m 径向风速(m/s),1560m SNR,1590m 径向风速(m/s),1590m SNR,1620m 径向风速(m/s),1620m SNR,1650m 径向风速(m/s),1650m SNR,1680m 径向风速(m/s),1680m SNR,1710m 径向风速(m/s),1710m SNR,1740m 径向风速(m/s),1740m SNR,1770m 径向风速(m/s),1770m SNR,1800m 径向风速(m/s),1800m SNR,1830m 径向风速(m/s),1830m SNR,1860m 径向风速(m/s),1860m SNR,1890m 径向风速(m/s),1890m SNR,1920m 径向风速(m/s),1920m SNR,1950m 径向风速(m/s),1950m SNR,1980m 径向风速(m/s),1980m SNR,2010m 径向风速(m/s),2010m SNR,2040m 径向风速(m/s),2040m SNR,2070m 径向风速(m/s),2070m SNR,2100m 径向风速(m/s),2100m SNR,2130m 径向风速(m/s),2130m SNR,2160m 径向风速(m/s),2160m SNR,2190m 径向风速(m/s),2190m SNR,2220m 径向风速(m/s),2220m SNR,2250m 径向风速(m/s),2250m SNR,2280m 径向风速(m/s),2280m SNR,2310m 径向风速(m/s),2310m SNR,2340m 径向风速(m/s),2340m SNR,2370m 径向风速(m/s),2370m SNR,2400m 径向风速(m/s),2400m SNR,2430m 径向风速(m/s),2430m SNR,2460m 径向风速(m/s),2460m SNR,2490m 径向风速(m/s),2490m SNR,2520m 径向风速(m/s),2520m SNR,2550m 径向风速(m/s),2550m SNR,2580m 径向风速(m/s),2580m SNR,2610m 径向风速(m/s),2610m SNR,2640m 径向风速(m/s),2640m SNR,2670m 径向风速(m/s),2670m SNR,2700m 径向风速(m/s),2700m SNR,2730m 径向风速(m/s),2730m SNR,2760m 径向风速(m/s),2760m SNR,2790m 径向风速(m/s),2790m SNR,2820m 径向风速(m/s),2820m SNR,2850m 径向风速(m/s),2850m SNR,2880m 径向风速(m/s),2880m SNR,2910m 径向风速(m/s),2910m SNR,2940m 径向风速(m/s),2940m SNR,2970m 径向风速(m/s),2970m SNR,3000m 径向风速(m/s),3000m SNR,3030m 径向风速(m/s),3030m SNR,3060m 径向风速(m/s),3060m SNR,3090m 径向风速(m/s),3090m SNR,3120m 径向风速(m/s),3120m SNR,3150m 径向风速(m/s),3150m SNR,3180m 径向风速(m/s),3180m SNR,3210m 径向风速(m/s),3210m SNR,3240m 径向风速(m/s),3240m SNR,3270m 径向风速(m/s),3270m SNR,3300m 径向风速(m/s),3300m SNR,3330m 径向风速(m/s),3330m SNR,3360m 径向风速(m/s),3360m SNR,3390m 径向风速(m/s),3390m SNR,3420m 径向风速(m/s),3420m SNR,3450m 径向风速(m/s),3450m SNR,3480m 径向风速(m/s),3480m SNR,3510m 径向风速(m/s),3510m SNR,3540m 径向风速(m/s),3540m SNR,3570m 径向风速(m/s),3570m SNR,3600m 径向风速(m/s),3600m SNR,3630m 径向风速(m/s),3630m SNR,3660m 径向风速(m/s),3660m SNR,3690m 径向风速(m/s),3690m SNR
20251118 13:01:15,-1.88,60.87,-1.02,61.45,-0.9,61.89,-1.64,62.15,-2.56,62.24,-1.93,62.74,-1.68,62.87,-1.7,62.63,-2.37,62.04,-2,61.24,-1.8,60.22,-1.55,59.06,-1.83,57.85,-2.53,56.62,-3.11,55.4,-2.67,54.2,-2.48,53.1,-1.85,52.07,-2.65,51.02,-3.34,49.97,-3.91,49.02,-3.82,48.1,-3.44,47.32,-4.69,46.54,-4.65,45.8,-4.57,45.08,-4.58,44.38,-4.49,43.79,-4.55,43.27,-4.05,42.7,-3.97,42.06,-3.47,41.48,-3.3,40.9,-2.71,40.28,-3.37,39.71,-3.5,39.14,-3.25,38.54,-3.32,38.03,-3.83,37.5,-4.64,37.16,-5.37,36.67,-5,36.27,-4.9,35.88,-4.93,35.5,-5.3,35.1,-5.31,34.8,-5.43,34.42,-5.54,34.1,-5.68,33.73,-5.71,33.42,-5.68,33,-5.51,32.54,-5.37,31.97,-4.92,31.57,-5.37,31.04,-5.7,30.63,-5.63,30.21,-5.99,29.73,-5.58,29.27,-5.47,29,-5.03,28.95,-4.81,28.9,-4.63,28.74,-3.9,28.54,-3.8,28.2,-4.14,27.76,-4.16,27.55,-3.31,27.2,-1.75,26.89,-3.03,26.52,-2.47,26.33,-2.04,26.1,-3.21,25.93,-4.09,25.7,-4.68,25.73,-4.86,25.62,-5.24,25.51,-5.03,25.37,-5.04,25.26,-4.49,24.85,-4.74,24.52,-4.62,24.47,-4.21,24.37,-4.59,24.12,-4.86,23.7,-4.74,23.56,-5.01,23.37,-5.72,23.04,-5.52,22.89,-5.23,22.75,-4.74,22.37,-4.91,22.11,-5.5,21.74,-5.75,21.61,-5.91,21.47,-6.23,21.04,-6.15,20.81,-5.49,20.69,-5.49,20.43,-5.46,20.23,-6.17,19.93,-5.46,19.77,-6.14,19.34,-6.34,18.89,-6.05,18.8,-6.24,18.57,-6.32,18.34,-6.32,18.08,-5.69,17.83,-5.57,17.89,-5.41,17.79,-5.32,17.96,-5.66,18.05,-5.15,18.02,-5.84,17.58,-4.51,17.15,-3.88,16.76,-4.88,16.66,-5.38,16.29,-5.58,15.95,-24.68,15.28
20251118 13:01:16,-1.85,61.08,-0.96,61.63,-0.48,62.06,-1.73,62.33,-2.49,62.44,-2.47,62.97,-1.64,63.1,-1.75,62.89,-1.88,62.4,-1.9,61.68,-2.29,60.73,-1.7,59.66,-1.72,58.52,-2.42,57.33,-3.14,56.17,-2.61,55.05,-2.46,53.93,-2.02,52.91,-2.64,51.92,-3.32,50.93,-3.48,50,-3.85,49.09,-3.81,48.27,-4.22,47.49,-4.77,46.78,-4.16,46.08,-4.57,45.35,-4.59,44.71,-4.69,44.14,-4.02,43.53,-3.95,42.89,-3.58,42.35,-3.4,41.85,-2.52,41.25,-3.32,40.64,-3.41,40.08,-3.34,39.57,-3.19,39.01,-3.4,38.5,-4.69,38.1,-4.86,37.66,-5.2,37.19,-5,36.78,-5.03,36.48,-5.05,36.15,-5.43,35.8,-5.49,35.52,-5.51,35.22,-5.64,34.87,-5.74,34.42,-5.62,33.94,-5.51,33.46,-5.36,32.89,-4.75,32.43,-5,31.87,-5.71,31.37,-5.7,30.93,-5.67,30.49,-5.46,30.17,-5.49,29.99,-5.2,29.85,-4.74,29.69,-4.64,29.5,-3.95,29.47,-3.88,29.29,-4.01,28.85,-4.14,28.66,-3.74,28.45,-2.02,28.12,-2.57,27.87,-3.24,27.62,-1.87,27.26,-3.18,26.87,-3.91,26.73,-4.59,26.69,-4.65,26.47,-4.82,26.27,-5.12,26.04,-4.6,25.86,-4.62,25.62,-4.54,25.41,-5.07,25.21,-3.87,24.96,-4.34,24.65,-5.2,24.38,-5.23,24.22,-4.58,24.13,-5.28,23.76,-6.07,23.58,-5.32,23.3,-5.31,23.12,-5.2,22.67,-5.55,22.27,-5.67,22.11,-6.44,21.89,-6.29,21.62,-5.85,21.5,-5.9,21.07,-5.93,20.9,-5.63,20.55,-5.78,20.39,-6.32,20.44,-6.57,19.94,-6.84,19.82,-6.92,19.35,-6.95,19.05,-6.5,19.13,-6.88,18.99,-5.38,19.01,-5.24,18.96,-6.02,18.82,-5.32,18.95,-5.59,18.63,-5.47,18.27,-5.47,18.14,-5.25,17.76,-4.55,17.26,-5.49,16.94,-6.06,16.62,-6.35,16.11,-7.08,15.75
20251118 13:01:18,-1.89,61.47,-0.95,61.99,-0.45,62.43,-1.67,62.76,-1.89,62.92,-3.21,63.41,-1.92,63.59,-2.37,63.45,-1.91,63.08,-2.36,62.44,-2.43,61.55,-1.75,60.52,-1.74,59.38,-1.97,58.23,-3.12,57.07,-2.57,55.93,-2.43,54.84,-1.97,53.77,-2.58,52.78,-3.4,51.88,-3.37,50.96,-3.42,50.06,-4.15,49.24,-4.59,48.5,-4.86,47.82,-4.58,47.11,-4.31,46.44,-4.62,45.83,-4.78,45.21,-4.07,44.6,-4,43.97,-4.03,43.42,-3.45,42.87,-2.58,42.25,-3.28,41.66,-3.78,41.04,-3.41,40.5,-3.49,39.99,-3.47,39.58,-4.6,39.16,-5.02,38.74,-5.46,38.33,-5.5,38.01,-4.97,37.72,-5.22,37.54,-5.46,37.25,-5.46,36.92,-5.57,36.57,-5.65,36.28,-5.71,35.92,-5.81,35.51,-5.57,35.11,-5.42,34.62,-4.88,34.2,-5.31,33.7,-5.77,33.31,-5.63,32.97,-5.58,32.5,-5.56,32.25,-5.45,31.97,-5.29,31.67,-4.97,31.5,-4.82,31.26,-4.1,31.05,-3.91,30.69,-3.94,30.13,-4.15,29.89,-3.97,29.46,-1.92,29.03,-2.08,28.68,-4.02,28.37,-2.31,28.03,-2.59,27.93,-4.12,27.74,-4.3,27.87,-4.94,27.87,-5.43,27.81,-5.31,27.79,-5.01,27.71,-4.89,27.45,-4.77,27.3,-4.79,27.03,-4.61,26.88,-4.54,26.61,-5.02,26.25,-5.3,26.07,-4.89,25.85,-5.57,25.58,-6.16,25.47,-6.25,25.28,-5.75,24.94,-5.58,24.76,-5.64,24.61,-5.59,24.67,-6.39,24.38,-6.2,24.17,-6.42,24.05,-5.97,23.95,-6.18,23.83,-5.5,23.57,-6.09,23.52,-5.9,23.47,-6.34,23.03,-6.14,22.91,-6.52,22.83,-6.74,22.73,-6.69,22.41,-6.26,22.03,-6.14,21.98,-5.66,21.92,-5.86,21.64,-5.9,21.44,-5.93,21.2,-6.27,21.09,-5.65,20.96,-5.89,20.93,-5.06,20.82,-5.61,20.29,-5.73,20.16,-6.67,20.21,-6.85,20.03
20251118 13:01:19,-1.87,59.82,-0.94,60.33,-0.86,60.7,-1.64,60.88,-1.73,60.9,-2.69,61.22,-2.58,61.23,-2.36,60.87,-1.81,60.36,-2.36,59.61,-2.62,58.54,-1.98,57.41,-1.84,56.24,-1.92,55.07,-3.07,53.88,-2.62,52.74,-2.56,51.69,-1.95,50.66,-2.6,49.64,-3.35,48.73,-3.24,47.81,-3.18,46.95,-3.8,46.15,-4.21,45.39,-4.72,44.69,-4.86,43.97,-4.28,43.24,-4.51,42.64,-4.69,42.07,-4.23,41.48,-3.99,40.83,-3.98,40.27,-3.43,39.8,-2.65,39.26,-3.18,38.75,-3.86,38.23,-3.45,37.66,-3.41,37.15,-3.4,36.77,-4.22,36.38,-4.96,35.97,-5.38,35.51,-5.68,35.06,-5.49,34.67,-5.04,34.41,-5.28,34.16,-5.32,33.8,-5.5,33.41,-5.53,33.08,-5.58,32.71,-5.83,32.4,-5.66,32.02,-5.58,31.61,-4.95,31.04,-5.25,30.49,-5.7,30.14,-6.07,29.71,-5.5,29.42,-5.3,29.17,-5.47,28.87,-5.24,28.65,-4.74,28.35,-4.84,28.21,-4.08,28.14,-3.72,27.84,-3.55,27.61,-3.99,27.21,-4.05,26.74,-2.95,26.23,-2.62,25.93,-3.79,25.86,-3.06,25.7,-2.43,25.51,-4.2,25.36,-4.64,25.05,-4.78,24.89,-4.39,24.66,-4.7,24.64,-4.35,24.53,-4.13,24.19,-4.2,23.78,-4.8,23.56,-4.19,23.25,-4.58,23.02,-4.66,22.79,-5.7,22.71,-5.07,22.59,-4.99,22.38,-5.89,22.25,-5.81,22.1,-5.61,21.59,-5.39,21.44,-5.57,21.44,-5.83,21.33,-5.78,21.16,-6.27,20.94,-6.42,20.77,-6.26,20.67,-6.1,20.47,-5.54,20.73,-5.81,20.6,-6,20.34,-6.2,20.06,-6.83,19.92,-7.03,19.47,-6.72,19.01,-6.17,18.59,-6.87,18.43,-6.69,17.92,-6.57,17.85,-6.1,17.85,-5.44,17.85,-5.6,17.38,-5.96,17.35,-5.85,17.25,-5.86,17.41,-5.21,17.49,-5.07,17.39,-6.94,16.92,-6.06,16.67,-6.49,16.39
20251118 13:01:20,-1.88,59.35,-1.14,59.93,-1.14,60.35,-2.38,60.63,-1.83,60.76,-2.54,61.18,-2.51,61.34,-2.64,61.19,-1.82,60.77,-2.44,60.13,-2.54,59.21,-2,58.18,-1.87,57.04,-1.99,55.9,-2.49,54.78,-2.56,53.67,-2.57,52.62,-2.28,51.59,-2.57,50.61,-3.28,49.63,-3.31,48.71,-3.26,47.87,-3.23,47.07,-3.83,46.35,-4.57,45.59,-4.88,44.87,-4.23,44.17,-3.92,43.5,-4.13,42.92,-4.07,42.36,-4.05,41.69,-4.05,41.1,-3.87,40.59,-3.15,40,-3.11,39.47,-3.92,38.88,-3.84,38.38,-3.72,37.79,-3.41,37.32,-4.08,37.01,-4.84,36.59,-5.39,36.14,-5.65,35.81,-5.72,35.44,-5.04,35.16,-5.36,34.81,-5.4,34.52,-5.36,34.15,-5.4,33.74,-5.68,33.34,-5.75,33.02,-5.99,32.65,-5.53,32.18,-5.08,31.8,-5.02,31.39,-5.48,31.02,-5.67,30.57,-5.36,30.21,-4.85,29.84,-4.99,29.46,-5.06,29.12,-4.81,28.86,-4.62,28.54,-4.16,28.33,-3.85,28.08,-3.66,27.87,-3.95,27.51,-4,27.22,-3.24,26.83,-2.75,26.5,-3.41,26.31,-3.45,26.22,-3.02,26.01,-4.14,25.76,-4.66,25.65,-4.54,25.63,-4.05,25.49,-4.35,25.41,-4.49,25.34,-4.22,25.08,-4.51,24.71,-4.47,24.44,-3.94,24.32,-4.38,23.93,-4.44,23.68,-5.33,23.64,-5.25,23.53,-5.02,23.26,-6.38,23.02,-6.31,22.79,-5.75,22.63,-5.43,22.2,-4.93,22.18,-5.59,21.93,-5.9,21.47,-6.04,21.16,-6.08,20.97,-5.99,20.97,-6.43,20.83,-5.58,20.53,-6.1,20.53,-6.64,19.99,-6.12,19.46,-6.15,19.3,-6.43,19.07,-6.19,18.86,-6.14,18.32,-6.59,18.12,-6.35,18,-6.12,17.78,-5.95,17.81,-5.57,17.84,-5.8,17.64,-5.9,17.66,-5.83,17.58,-5.55,17.61,-5.42,17.3,-5.54,16.87,-6.76,16.69,-7.81,16.49,-5.79,16.24
20251118 13:01:21,-1.82,60.29,-1.67,60.84,-1.84,61.24,-2.45,61.5,-1.75,61.63,-2.43,62.14,-1.88,62.31,-2.68,62.21,-1.9,61.78,-2.32,61.2,-2.35,60.35,-1.91,59.39,-1.88,58.33,-2.37,57.24,-2.57,56.11,-2.65,55.03,-2.66,53.97,-2.57,52.96,-2.66,51.97,-3.29,51.02,-3.32,50.05,-3.28,49.17,-3.2,48.33,-3.41,47.58,-4.63,46.8,-4.61,46.06,-4.47,45.35,-3.82,44.7,-3.85,44.11,-3.92,43.59,-4.14,42.95,-4.14,42.33,-3.83,41.81,-3.18,41.32,-3.16,40.77,-4.02,40.22,-3.94,39.58,-3.87,38.95,-3.79,38.47,-3.79,38.08,-4.85,37.69,-5.01,37.24,-5.61,36.83,-5.61,36.55,-5.77,36.22,-5.39,35.95,-5.42,35.73,-5.51,35.36,-5.37,35.05,-5.61,34.73,-5.72,34.33,-5.85,33.91,-5.64,33.34,-5.04,32.96,-5.32,32.53,-5.61,32.09,-5.63,31.59,-4.98,31.15,-4,30.75,-4.29,30.5,-4.91,30.24,-5.36,30.08,-4.85,29.75,-4.46,29.56,-3.65,29.39,-3.78,29.31,-3.77,29.01,-4.01,28.76,-3.66,28.29,-3.14,28,-3.33,27.76,-3.76,27.56,-3.64,27.36,-4.68,27.06,-4.64,26.85,-4.72,26.75,-3.89,26.56,-4.08,26.57,-4.19,26.38,-4.01,26.04,-4.69,25.66,-4.57,25.37,-3.86,25.2,-4.21,24.75,-4.28,24.31,-4.8,23.99,-5.75,23.6,-5.11,23.49,-6.21,23.37,-6.42,23.04,-5.7,22.95,-5.78,22.58,-4.87,22.75,-5.42,22.66,-5.88,22.49,-6.77,22.43,-6.47,21.93,-5.56,21.74,-6.24,21.72,-5.54,21.37,-6.01,21.19,-6.41,20.51,-6.41,20.28,-6.03,19.94,-5.77,19.66,-7.44,19.63,-6.4,19.35,-5.95,18.7,-7.14,18.55,-6.24,18.16,-6.71,18.28,-5.99,18.02,-5.91,17.89,-6.41,17.56,-5.44,17.3,-6.64,17.12,-6.43,17.43,-5.59,17.4,-6.84,17.29,-6.26,17.17,-6.93,16.95
20251118 13:01:22,-1.69,62.13,-1.78,62.78,-1.85,63.21,-2.39,63.54,-1.23,63.69,-2.36,64.2,-2.37,64.38,-2.56,64.24,-1.78,63.82,-2.37,63.14,-1.95,62.18,-1.89,61.05,-1.86,59.85,-2.33,58.65,-2.46,57.45,-2.73,56.31,-3.03,55.22,-2.55,54.17,-2.68,53.17,-3.21,52.2,-3.24,51.28,-3.19,50.42,-3.3,49.61,-3.53,48.86,-4.77,48.07,-4.98,47.33,-4.5,46.64,-3.86,46.01,-3.97,45.39,-3.86,44.88,-3.98,44.21,-4.17,43.52,-3.83,42.96,-3.17,42.49,-2.74,41.99,-4,41.45,-4.18,40.77,-4,40.17,-4.04,39.68,-3.9,39.33,-4.77,38.98,-5.4,38.52,-5.63,38.02,-5.55,37.61,-6.13,37.26,-5.69,37.07,-5.4,36.81,-5.44,36.53,-5.36,36.12,-5.6,35.75,-5.71,35.4,-6.15,35.09,-6.07,34.73,-5.34,34.26,-5.19,33.85,-5.42,33.29,-5.59,32.72,-5.27,32.23,-4.15,31.88,-4.52,31.43,-4.77,31.01,-5.38,30.71,-4.78,30.46,-4.26,30.16,-3.49,30.01,-3.84,29.8,-3.84,29.48,-4.03,29.04,-3.92,28.67,-3.72,28.35,-3.17,28.22,-3.97,28.11,-4.18,27.9,-5.37,27.71,-4.82,27.54,-4.74,27.47,-4.67,27.45,-4.46,27.57,-4.2,27.44,-4.67,26.98,-4.75,26.69,-4.72,26.35,-3.62,26.27,-4.15,26.12,-4.34,25.84,-5.17,25.71,-5.58,25.42,-5.47,25.3,-5.97,25.22,-6.93,24.97,-6.04,24.95,-5.84,24.72,-5.68,24.48,-5.55,24.48,-6.23,24.27,-5.89,23.99,-5.96,23.77,-5.7,23.64,-5.81,23.68,-6.02,23.38,-5.77,22.98,-6.29,22.77,-6.34,22.51,-6.29,22.09,-6.01,22.07,-6.5,21.9,-6.39,21.47,-5.99,21.02,-6.73,21.04,-6.82,21.2,-6.45,21.08,-5.86,20.87,-5.78,20.87,-5.7,20.56,-5.61,20.51,-5.81,20.41,-5.9,20.22,-5.95,19.86,-6.97,19.7,-6.69,19.52,-7.12,19.52
20251118 13:01:24,-1.2,59.68,-1.7,60.24,-2.45,60.65,-2.58,60.95,-1.73,61.13,-2.31,61.67,-2.55,61.93,-2.68,61.91,-1.73,61.56,-1.95,60.95,-2.34,60.16,-1.76,59.13,-1.71,58.01,-2.33,56.89,-2.37,55.81,-2.6,54.69,-3.04,53.6,-2.67,52.57,-2.61,51.59,-3.09,50.64,-3.29,49.76,-3.1,48.98,-3.16,48.15,-3.36,47.33,-4.54,46.59,-4.91,45.85,-4.65,45.16,-3.97,44.47,-3.92,43.85,-3.94,43.33,-4.1,42.67,-4.18,42.05,-3.93,41.54,-3.23,41.06,-2.77,40.56,-3.91,40.08,-4.04,39.49,-4.08,38.96,-4.06,38.47,-4.13,38.15,-4.83,37.75,-5.36,37.32,-5.55,36.91,-5.55,36.56,-5.63,36.15,-5.57,35.94,-5.41,35.61,-5.61,35.25,-5.43,34.9,-5.56,34.61,-5.69,34.29,-5.98,33.95,-6.08,33.53,-5.5,33.06,-5.32,32.57,-5.4,32.15,-5.32,31.74,-5.5,31.25,-4.54,30.87,-4.19,30.39,-4.78,30.02,-5.32,29.66,-4.77,29.52,-4.08,29.28,-3.83,29.1,-3.42,28.69,-3.71,28.31,-4.11,27.96,-4,27.65,-3.88,27.38,-3.25,27.27,-3.58,27.07,-4.67,26.85,-5.29,26.49,-5.08,26.52,-4.56,26.42,-4.57,26.31,-4.14,26.21,-3.94,25.98,-4.18,25.46,-4.52,25.07,-4.56,24.84,-4.19,24.71,-4.45,24.4,-4.03,24.19,-4.17,24.07,-5.59,23.98,-5.5,23.81,-6.2,23.84,-6.57,23.8,-6.13,23.71,-6.16,23.44,-6.09,23.31,-5.99,23.17,-6.43,22.95,-6.66,22.71,-6.28,22.55,-6.04,22.34,-5.93,22.17,-6.01,21.83,-5.52,21.78,-6.44,21.61,-6.85,21.5,-5.55,20.99,-6.13,20.68,-6.42,20.64,-6.34,20.2,-6.31,19.84,-6.78,19.77,-6.39,19.33,-6.31,18.98,-5.99,18.78,-5.58,19.01,-6.07,19.14,-6.25,18.64,-6.4,18.73,-6.01,18.81,-6.02,18.68,-6.1,18.85,-6.28,18.77,-6.36,18.42
20251118 13:01:25,-1.2,61.34,-1.72,61.95,-2,62.38,-3.34,62.71,-2.44,62.88,-1.95,63.39,-2.57,63.63,-2.51,63.57,-1.7,63.17,-1.89,62.49,-2.33,61.56,-2.32,60.39,-1.8,59.15,-2.37,57.91,-1.96,56.74,-1.97,55.56,-2.64,54.43,-2.62,53.36,-2.64,52.32,-3.06,51.4,-3.31,50.56,-3.1,49.76,-3.18,48.94,-3.34,48.13,-4.13,47.4,-4.89,46.68,-4.71,45.96,-4.05,45.32,-3.97,44.68,-3.94,44.13,-4.04,43.51,-4.12,42.87,-3.95,42.28,-3.39,41.75,-2.77,41.26,-3.96,40.81,-4.14,40.21,-4.12,39.66,-4.09,39.15,-4.1,38.77,-4.32,38.43,-5.3,38.05,-5.44,37.62,-5.49,37.15,-5.61,36.75,-5.61,36.49,-5.38,36.22,-5.61,35.89,-5.56,35.5,-5.58,35.2,-5.77,34.87,-6.01,34.48,-5.82,34.2,-5.51,33.74,-5.25,33.19,-5.43,32.6,-5.58,32.12,-6.09,31.68,-5.42,31.19,-4.93,30.76,-5.05,30.45,-5.43,30.18,-4.87,29.9,-4.58,29.77,-3.97,29.68,-3.86,29.4,-3.79,29.03,-4.19,28.75,-3.92,28.56,-3.16,28.07,-3.24,27.67,-3.91,27.53,-3.14,27.41,-3.34,27.26,-4.83,27.03,-4.63,26.98,-4.17,26.84,-4.07,26.54,-4.72,26.55,-4.64,26.38,-4.47,26.15,-4.65,25.8,-4.41,25.5,-3.96,25.41,-3.9,25.11,-4.51,24.84,-5.38,24.65,-5.2,24.53,-5.55,24.41,-6.16,24.19,-6.28,24.15,-6.34,24.06,-6,23.9,-5.55,24,-5.96,24,-6.09,23.95,-6.19,23.68,-5.96,23.46,-5.67,23.23,-5.47,22.76,-5.87,22.47,-6.33,22.36,-6.1,21.96,-5.98,21.59,-5.93,21.36,-6.35,21.23,-6.51,20.94,-6.8,20.88,-6.67,20.62,-6.16,20.21,-6,19.93,-5.25,19.86,-6.05,19.86,-5.81,19.39,-5.45,19.15,-6.2,19.15,-5.74,18.71,-5.12,18.97,-5.09,19.16,-5.56,18.87,-5.6,18.61
20251118 13:01:26,-1.57,62.35,-1.84,63.01,-1.91,63.48,-3.8,63.85,-3.08,64.04,-2.4,64.6,-2.56,64.88,-2.66,64.8,-1.87,64.43,-2.36,63.78,-2.48,62.85,-2.29,61.72,-1.83,60.49,-2.42,59.26,-2.6,58.02,-2.79,56.83,-3.38,55.71,-2.58,54.63,-2.78,53.6,-3.44,52.6,-3.45,51.65,-3.41,50.78,-3.31,49.93,-3.48,49.14,-4.57,48.32,-5.38,47.58,-4.8,46.89,-4.22,46.22,-4.24,45.6,-4.6,45.06,-4.19,44.45,-4.07,43.76,-3.98,43.2,-3.94,42.68,-3.12,42.11,-3.51,41.52,-4.05,40.94,-3.95,40.42,-3.8,39.96,-3.86,39.52,-4.25,39.12,-5.27,38.73,-5.52,38.33,-5.38,37.99,-5.36,37.71,-5.35,37.39,-5.53,37.08,-5.5,36.75,-5.39,36.4,-5.48,36.03,-5.47,35.64,-5.47,35.19,-5.3,34.61,-6.05,34.07,-5.65,33.6,-5.47,33.02,-6.2,32.41,-6.69,31.84,-6.9,31.47,-6.02,31.03,-5.42,30.84,-4.96,30.77,-4.17,30.51,-4.13,30.41,-3.85,30.15,-3.98,29.97,-4.05,29.88,-4.15,29.69,-4.1,29.56,-3.74,29.21,-3.11,28.9,-1.83,28.65,-1.82,28.23,-1.97,27.98,-2.64,27.58,-3.4,27.36,-4.05,27.23,-4.59,27.01,-4.91,26.8,-5.46,26.75,-5.39,26.53,-4.8,26.5,-4.52,26.48,-4.41,26.62,-4.17,26.51,-4.71,26.3,-5.15,26.21,-4.66,26.23,-4.91,26.06,-5.23,26.03,-5.47,25.8,-5.48,25.55,-5.32,25.39,-5.13,25.42,-5.02,25.16,-5.64,24.85,-5.59,24.56,-5.62,24.31,-6.14,24.07,-6.04,23.93,-6.23,23.93,-5.91,23.64,-6.38,23.33,-6.04,23.2,-5.82,23.07,-6.17,22.74,-5.78,22.43,-5.77,22.38,-5.19,22.26,-5.23,21.95,-4.51,21.95,-4.47,21.84,-5.11,21.61,-4.46,21.46,-3.89,21.63,-4.59,21.55,-4.2,21.13,-4.25,20.93,-4.52,20.63,-4.23,20.33,-4.62,19.92
